"sampleName"	"run"	"individual"	"population"	"insecticide"	"environment"	"groups"
"1_Agb_D02_S1_001"	"1"	"S1"	"Agb"	"D"	"Field"	"Agb_D"
"2_Agb_D03_S2_001"	"1"	"S2"	"Agb"	"D"	"Field"	"Agb_D"
"3_Agb_D04_S3_001"	"1"	"S3"	"Agb"	"D"	"Field"	"Agb_D"
"4_Agb_D06_S4_001"	"1"	"S4"	"Agb"	"D"	"Field"	"Agb_D"
"5_Agb_D11_S5_001"	"1"	"S5"	"Agb"	"D"	"Field"	"Agb_D"
"6_Agb_M01_S6_001"	"1"	"S6"	"Agb"	"M"	"Field"	"Agb_M"
"7_Agb_M02_S7_001"	"1"	"S7"	"Agb"	"M"	"Field"	"Agb_M"
"8_Agb_M06_S8_001"	"1"	"S8"	"Agb"	"M"	"Field"	"Agb_M"
"9_Agb_M08_S9_001"	"1"	"S9"	"Agb"	"M"	"Field"	"Agb_M"
"10_Agb_M12_S10_001"	"1"	"S10"	"Agb"	"M"	"Field"	"Agb_M"
"11_Agb_C08_S11_001"	"1"	"S11"	"Agb"	"C"	"Field"	"Agb_C"
"12_Agb_C14_S12_001"	"1"	"S12"	"Agb"	"C"	"Field"	"Agb_C"
"13_Agb_C32_S13_001"	"1"	"S13"	"Agb"	"C"	"Field"	"Agb_C"
"14_Agb_C37_S14_001"	"1"	"S14"	"Agb"	"C"	"Field"	"Agb_C"
"15_Agb_C40_S15_001"	"1"	"S15"	"Agb"	"C"	"Field"	"Agb_C"
"16_Dab_D02_S16_001"	"1"	"S16"	"Dab"	"D"	"Field"	"Dab_D"
"17_Dab_D04_S17_001"	"1"	"S17"	"Dab"	"D"	"Field"	"Dab_D"
"18_Dab_D05_S18_001"	"1"	"S18"	"Dab"	"D"	"Field"	"Dab_D"
"19_Dab_D10_S19_001"	"1"	"S19"	"Dab"	"D"	"Field"	"Dab_D"
"20_Dab_D11_S20_001"	"1"	"S20"	"Dab"	"D"	"Field"	"Dab_D"
"21_Dab_M01_S21_001"	"1"	"S21"	"Dab"	"M"	"Field"	"Dab_M"
"22_Dab_M03_S22_001"	"1"	"S22"	"Dab"	"M"	"Field"	"Dab_M"
"23_Dab_M05_S23_001"	"1"	"S23"	"Dab"	"M"	"Field"	"Dab_M"
"24_Dab_M06_S24_001"	"1"	"S24"	"Dab"	"M"	"Field"	"Dab_M"
"25_Dab_M08_S25_001"	"1"	"S25"	"Dab"	"M"	"Field"	"Dab_M"
"26_Dab_C08_S26_001"	"1"	"S26"	"Dab"	"C"	"Field"	"Dab_C"
"27_Dab_C15_S27_001"	"1"	"S27"	"Dab"	"C"	"Field"	"Dab_C"
"28_Dab_C20_S28_001"	"1"	"S28"	"Dab"	"C"	"Field"	"Dab_C"
"29_Dab_C24_S29_001"	"1"	"S29"	"Dab"	"C"	"Field"	"Dab_C"
"30_Dab_C33_S30_001"	"1"	"S30"	"Dab"	"C"	"Field"	"Dab_C"
"31_Tia_D03_S31_001"	"1"	"S31"	"Tia"	"D"	"Field"	"Tia_D"
"32_Tia_D05_S32_001"	"1"	"S32"	"Tia"	"D"	"Field"	"Tia_D"
"33_Tia_D06_S33_001"	"1"	"S33"	"Tia"	"D"	"Field"	"Tia_D"
"34_Tia_D09_S34_001"	"1"	"S34"	"Tia"	"D"	"Field"	"Tia_D"
"35_Tia_D12_S35_001"	"1"	"S35"	"Tia"	"D"	"Field"	"Tia_D"
"36_Tia_M02_S36_001"	"1"	"S36"	"Tia"	"M"	"Field"	"Tia_M"
"37_Tia_M05_S37_001"	"1"	"S37"	"Tia"	"M"	"Field"	"Tia_M"
"38_Tia_M06_S38_001"	"1"	"S38"	"Tia"	"M"	"Field"	"Tia_M"
"39_Tia_M08_S39_001"	"1"	"S39"	"Tia"	"M"	"Field"	"Tia_M"
"40_Tia_M12_S40_001"	"1"	"S40"	"Tia"	"M"	"Field"	"Tia_M"
"41_Tia_C02_S41_001"	"1"	"S41"	"Tia"	"C"	"Field"	"Tia_C"
"42_Tia_C13_S42_001"	"1"	"S42"	"Tia"	"C"	"Field"	"Tia_C"
"43_Tia_C26_S43_001"	"1"	"S43"	"Tia"	"C"	"Field"	"Tia_C"
"44_Tia_C38_S44_001"	"1"	"S44"	"Tia"	"C"	"Field"	"Tia_C"
"45_Tia_C40_S45_001"	"1"	"S45"	"Tia"	"C"	"Field"	"Tia_C"
"46_Ng_C02_S46_001"	"1"	"S46"	"Ng"	"C"	"Lab"	"Ng_C"
"47_Ng_C20_S47_001"	"1"	"S47"	"Ng"	"C"	"Lab"	"Ng_C"
"48_Ng_C27_S48_001"	"1"	"S48"	"Ng"	"C"	"Lab"	"Ng_C"
"49_Ng_C32_S49_001"	"1"	"S49"	"Ng"	"C"	"Lab"	"Ng_C"
"50_Ng_C33_S50_001"	"1"	"S50"	"Ng"	"C"	"Lab"	"Ng_C"
"51_Ma_C01_S51_001"	"1"	"S51"	"Ma"	"C"	"Lab"	"Ma_C"
"52_Ma_C03_S52_001"	"1"	"S52"	"Ma"	"C"	"Lab"	"Ma_C"
"53_Ma_C04_S53_001"	"1"	"S53"	"Ma"	"C"	"Lab"	"Ma_C"
"54_Ma_C06_S54_001"	"1"	"S54"	"Ma"	"C"	"Lab"	"Ma_C"
"55_Ma_C09_S55_001"	"1"	"S55"	"Ma"	"C"	"Lab"	"Ma_C"
"1_Agb_D02_S1_002"	"2"	"S1"	"Agb"	"D"	"Field"	"Agb_D"
"2_Agb_D03_S2_002"	"2"	"S2"	"Agb"	"D"	"Field"	"Agb_D"
"3_Agb_D04_S3_002"	"2"	"S3"	"Agb"	"D"	"Field"	"Agb_D"
"4_Agb_D06_S4_002"	"2"	"S4"	"Agb"	"D"	"Field"	"Agb_D"
"5_Agb_D11_S5_002"	"2"	"S5"	"Agb"	"D"	"Field"	"Agb_D"
"6_Agb_M01_S6_002"	"2"	"S6"	"Agb"	"M"	"Field"	"Agb_M"
"7_Agb_M02_S7_002"	"2"	"S7"	"Agb"	"M"	"Field"	"Agb_M"
"8_Agb_M06_S8_002"	"2"	"S8"	"Agb"	"M"	"Field"	"Agb_M"
"9_Agb_M08_S9_002"	"2"	"S9"	"Agb"	"M"	"Field"	"Agb_M"
"10_Agb_M12_S10_002"	"2"	"S10"	"Agb"	"M"	"Field"	"Agb_M"
"11_Agb_C08_S11_002"	"2"	"S11"	"Agb"	"C"	"Field"	"Agb_C"
"12_Agb_C14_S12_002"	"2"	"S12"	"Agb"	"C"	"Field"	"Agb_C"
"13_Agb_C32_S13_002"	"2"	"S13"	"Agb"	"C"	"Field"	"Agb_C"
"14_Agb_C37_S14_002"	"2"	"S14"	"Agb"	"C"	"Field"	"Agb_C"
"15_Agb_C40_S15_002"	"2"	"S15"	"Agb"	"C"	"Field"	"Agb_C"
"16_Dab_D02_S16_002"	"2"	"S16"	"Dab"	"D"	"Field"	"Dab_D"
"17_Dab_D04_S17_002"	"2"	"S17"	"Dab"	"D"	"Field"	"Dab_D"
